name,born,gender_details,basic
Claude Akins,"['Born: 25-May-1926', 'Birthplace: Nelson, GA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: (police officer)', 'Wife: Therese ""Pie"" Fairfield (until his death, one son, two daughters)', 'Son: Claude Marion Akins, Jr.', 'Daughter: Michele', 'Daughter: Wendy']"
James E. Akins,"['Born: 15-Oct-1926', 'Birthplace: Akron, OH']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Diplomat', 'Party Affiliation: Democratic']",['Wife: Marjorie']
Zoë Akins,"['Born: 30-Oct-1886', 'Birthplace: Humansville, MO']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Playwright']",
Prince Akishino,"['Born: 30-Nov-1965', 'Birthplace: Tokyo, Japan']","['Gender: Male', 'Race or Ethnicity: Asian', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Emperor Akihito', 'Mother: Empress Michiko', 'Brother: Prince Naruhito (Crown Prince of Japan, b. 23-Feb-1960)', 'Sister: Princess Nori (b. 18-Apr-1969)', 'Wife: Kawashima Kiko (m. 29-Jun-1990)', 'Daughter: Princess Mako (b. 23-Oct-1991)', 'Daughter: Princess Kako (b. 29-Dec-1994)']"
Masami Akita,"['Born: 19-Dec-1956', 'Birthplace: Tokyo, Japan']","['Gender: Male', 'Race or Ethnicity: Asian', 'Sexual orientation: Straight', 'Occupation: Musician']",['Wife: Reiko Azuma']
Moustapha Akkad,"['Born: 1-Jul-1930', 'Birthplace: Aleppo, Syria']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Film/TV Producer']","['Wife: Patricia Akkad (div.)', 'Daughter: Rima Akkad Monla (d. Jordan bombing)']"
Akon,"['Born: 16-Apr-1973 [1]', 'Birthplace: St. Louis, MO']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Black', 'Occupation: Singer']",['Father: Momar Thiam (jazz musician)']
Sami Al-Arian,"['Born: 14-Jan-1958', 'Birthplace: Kuwait']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Criminal']","['Wife: Nahla Al-Najjar (m. 1979, five children)', 'Son: Abdullah Al-Arian', 'Daughter: Laila', 'Daughter: Leena', 'Son: Ali', 'Daughter: Lama']"
Asma al-Assad,"['Born: 11-Aug-1975', 'Birthplace: London, England']","['Gender: Female', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: First Lady']","['Father: Fawaz Akhras (cardiologist)', 'Mother: Sahar Otri', 'Husband: Bashar al-Assad (President of Syria, two sons, one daughter)', 'Son: Hafez (b. Dec-2001)', 'Daughter: Zein (b. Oct-2003)', 'Son: Karim (b. 16-Dec-2004)']"
Hafez al-Assad,"['Born: 6-Oct-1930', 'Birthplace: Qardaha, Syria']","['Gender: Male', 'Religion: Muslim [1]', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Head of State']","['Brother: Rifaat al-Assad', 'Brother: Jamil al-Assad (politician, b. 1933)', 'Wife: Anissa Makhloof (until his death, one daughter, four sons)', 'Son: Basil al-Assad (b. 1959, d. 1994 automobile accident)', 'Son: Bashar al-Assad (President of Syria, b. 11-Sep-1965)', 'Son: Majd al-Assad (electrical engineer)', 'Son: Maher al-Assad (military, b. 1968)', 'Daughter: Bushra al-Assad (pharmacist)']"
Anwar al-Awlaki,"['Born: 22-Apr-1971', 'Birthplace: Las Cruces, NM']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Occupation: Religion, Blogger']","['Father: Nasser al-Awlaki (Yemeni agriculture minister, b. 1947)']"
Ibn Al-Baitar,"['Born: c. 1197', 'Birthplace: Benalmadena, Spain']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Occupation: Botanist']",
Omar al-Bashir,"['Born: 1-Jan-1944', 'Birthplace: Hosh Bannaga, Sudan']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Occupation: Politician, Military']",
Nouri al-Maliki,"['Born: c. 1950', 'Birthplace: Al Hindiyah, Iraq']","['Gender: Male', 'Religion: Shia Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Head of State']",['Wife: (four children)']
Harun al-Rashid,"['Born: 763 AD', 'Birthplace: Rai']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Royalty, Military']","['Father: al-Mahdi (caliph)', 'Mother: al-Khayzuran (Yemeni slave girl, d. 789 AD)', 'Brother: al-Hadi (d. 14-Sep-786 AD)', ""Son: al-Ma'mun"", 'Son: al-Amin']"
al-Razi,"['Born: c. 865 AD', 'Birthplace: Ray, Persia']","['Gender: Male', 'Religion: Muslim [1]', 'Race or Ethnicity: Middle Eastern', 'Occupation: Doctor, Scholar, Philosopher']",['Father: Diya’ al-Din (a/k/a Khatib al-Rayy)']
Jaber III al-Sabah,"['Born: 29-Jun-1926', 'Died: 15-Jan-2006']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Sheikh Ahmad Al-Jaber Al-Sabah (Emir of Kuwait)', 'Wife: (four wives, many children)']"
Natasha Alam,"['Born: 10-Mar-1983', 'Birthplace: Tashkent, Uzbekistan']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Husband: Amir Ebrahim Pahlavi Alam (m. 30-Sep-1998, div. 2005)', 'Husband: Joey Campana (one daughter)', 'Daughter: Valentina Campana (b. 2009)']"
Tony Alamo,"['Born: 20-Sep-1934', 'Birthplace: Joplin, MO']","['Gender: Male', 'Religion: Cult', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Religion']","['Father: Boris Lazar Hoffman', 'Mother: Lillian Mildred Johnston', 'Wife: Helen Alice Muller (m. 1961)', 'Son: Mark Anthony Hoffman (b. 25-May-1964)', 'Wife: Edith Opal Horn (""Susan Alamo"", b. 25-Apr-1925, m. 1966, d. 8-Apr-1982 cancer)', 'Wife: Birgetta Oyllenhammer (m. 23-Jun-1984, div. 1986)', 'Wife: Elizabeth Amrhein']"
José Maria Alapont,['Born: c. 1951'],"['Gender: Male', 'Race or Ethnicity: Hispanic', 'Occupation: Business']",
Arthur L. Alarcon,"['Born: 14-Aug-1925', 'Birthplace: Los Angeles, CA']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Judge']","['Father: Lorenzo Marques Alarcon', 'Mother: Margaret Sais', 'Wife: Sandra D. Paterson (m. 1-Sep-1979, until his death, two sons, one daughter)', 'Son: Gregory', 'Daughter: Jan Marie', 'Son: Lance']"
Ali Alatas,"['Born: 4-Nov-1932', 'Birthplace: Jakarta, Indonesia']","['Gender: Male', 'Race or Ethnicity: Asian', 'Sexual orientation: Straight', 'Occupation: Diplomat']",['Wife: (three daughters)']
Carlos Alazraqui,['Born: 20-Jul-1962'],"['Gender: Male', 'Race or Ethnicity: Hispanic', 'Occupation: Actor']",
Jessica Alba,"['Born: 28-Apr-1981', 'Birthplace: Pomona, CA']","['Gender: Female', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor, Business']","['Father: Mark Alba (real estate agent)', 'Mother: Cathy Jensen (housewife)', 'Brother: Joshua Alba (actor, b. 8-Jul-1982)', 'Boyfriend: Chris Lakkees (high school sweetheart, together 1994-98)', 'Boyfriend: Michael Weatherly (Dark Angel costar, engaged May-2001, broken 2003)', 'Husband: Cash Warren (film producer, b. 1979, dated-cohabited 2005-08, m. 19-May-2008, two daughters)', 'Daughter: Honor Marie Warren (b. 7-Jun-2008)', 'Daughter: Haven Warren (b. 13-Aug-2011)']"
Joshua Alba,"['Born: 8-Jul-1982', 'Birthplace: Biloxi, MS']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Mark Alba (real estate agent)', 'Mother: Cathy Jensen (housewife)', 'Sister: Jessica Alba (actress, b. 28-Apr-1981)', 'Wife: Nikki Leigh Alba (m. 26-Jul-2003, one child)']"
Licia Albanese,"['Born: 22-Jul-1913', 'Birthplace: Bari, Italy']","['Gender: Female', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Singer']","['Father: Michèle Albanese', 'Mother: Maria Rugusa', 'Husband: Joseph A. Gimma (stockbroker, m. 7-Apr-1945, one son)', 'Son: Joseph, Jr. (""Peppino"", b. 1953)']"
Captain Lou Albano,"['Born: 29-Jul-1933', 'Birthplace: Rome, Italy']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Wrestling']","['Father: Dr. Carmen Louis Albano', 'Mother: Eleanor Morrone', 'Brother: Carl M. Albano (d. 12-Apr-2004)', 'Brother: Vincent L. Albano', 'Brother: George', 'Sister: Eleanor', 'Wife: Geraldine Tango (""Geri"", m. 1953)']"
Damon Albarn,"['Born: 23-Mar-1968', 'Birthplace: Whitechapel, London, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Musician']","['Father: Keith', 'Mother: Hazel', 'Girlfriend: Justine Frischmann (guitarist, Elastica, dated 1992-98)', 'Girlfriend: Suzy Winstanley', 'Daughter: Missy (b. Oct-1999, with Suzy)']"
James F. Albaugh,['Born: 31-May-1950'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Edward Albee,"['Born: 12-Mar-1928', 'Birthplace: Washington, DC']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Gay [1]', 'Occupation: Playwright', 'Party Affiliation: Democratic']",
Isaac Albéniz,"['Born: 29-May-1860', 'Birthplace: Camprodón, Spain']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Composer']",
Tom A. Alberg,['Born: c. 1940'],"['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business', 'Party Affiliation: Republican']","['Father: Thomas A. Alberg', 'Mother: Miriam Twitchell Alberg', 'Wife: Judi Beck', 'Son: Robert Alberg (incarcerated)']"
Anna Maria Alberghetti,"['Born: 15-May-1936', 'Birthplace: Pesaro, Italy']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Sister: Carla', 'Boyfriend: Buddy Bregman (together 1958-59)', 'Husband: Claudio Guzmán (producer, m. 12-Sep-1964, div. 1972, one son, two daughters)', 'Son: Alexander (b. 1965)', 'Daughter: Pilar (b. 11-Oct-1966)', 'Daughter: Danielle (b. 17-Mar-1970)']"
Luis Alberni,"['Born: 4-Oct-1886', 'Birthplace: Barcelona, Spain']","['Gender: Male', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Charlotte Hall Alberni (m. 1919, div. 1940, two sons)', 'Son: Carlos', 'Son: Luis', 'Wife: Wanda Kay Wilson']"
Giulio Alberoni,"['Born: 21-May-1664', 'Birthplace: Piacenza, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Religion, Politician']",
Josef Albers,"['Born: 19-Mar-1888', 'Birthplace: Bottrop, Germany']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Artist']",
Albert I,"['Born: 8-Apr-1875', 'Birthplace: Brussels, Belgium']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Philip, Count of Flanders (b. 1837, d. 1905)', 'Mother: Marie Hohenzollern (b. 1845, d. 1912)', 'Brother: Baudouin (b. 1869, d. 1891)', 'Sister: Henriette (twin, b. 1870, d. 1948)', 'Sister: Josephine (twin, b. 1870, d. 1871)', 'Sister: Josephine of Belgium (b. 1872, d. 1953)', 'Wife: Elisabeth Gabrielle Valérie Marie (m. 2-Oct-1900, two sons, one daughter)', 'Son: Leopold III (King of Belgium)', 'Son: Charles Théodore Henri Antoine Meinrad (Regent, b. 10-Oct-1903, d. 1-Jun-1983)', 'Daughter: Marie-José Charlotte Sophie Amélie Henriette Gabrielle (b. 4-Aug-1906, d. 18-Mar-1983)']"
Albert II,"['Born: 6-Jun-1934', 'Birthplace: Brussels, Belgium']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Leopold III (King of Belgium)', 'Mother: Princess Astrid of Sweden (b. 1905, d. 1935)', 'Brother: Baudouin (King of Belgium, b. 7-Sep-1930, d. 31-Jul-1993)', 'Sister: Joséphine-Charlotte (b. 11-Oct-1927, d. 10-Jan-2005)', 'Wife: Donna Paola Ruffo di Calabria (m. 2-Jul-1959, two sons, one daughter)', 'Son: Philippe Léopold Louis Marie, Duke of Brabant (b. 15-Apr-1960)', 'Daughter: Astrid Joséphine Charlotte Fabrizia Elisabeth Paola Marie (b. 5-Jun-1962)', 'Son: Prince Laurent of Belgium (b. 19-Oct-1963)', 'Mistress: Sybille, Baroness de Selys Longchamps (one daughter)', 'Daughter: Jonkvrouw Delphine Boël (illegitimate, b. 1968)']"
Prince Albert II,"['Born: 14-Mar-1958', 'Birthplace: Palais Princier, Monaco']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Prince Rainier', 'Mother: Princess Grace', 'Sister: Princess Caroline', 'Sister: Princess Stephanie', 'Girlfriend: Claudia Schiffer', 'Girlfriend: Naomi Campbell', 'Girlfriend: Angie Everhart (2001)', 'Girlfriend: Brooke Shields', 'Girlfriend: Gwyneth Paltrow', 'Slept with: Janice Dickinson', 'Slept with: Karen Mulder (she claims he raped her)', 'Slept with: Victoria Zdrok (Penthouse Pet, claims she had a three-way with him)', 'Slept with: Teri Weigel', 'Girlfriend: Nicole Coste (five years)', 'Son: Alexandre (by Nicole, b. Aug-2003)', 'Wife: Charlene Wittstock (swimmer, b. 25-Jan-1978, m. 1-Jul-2011)']"
Carl B. Albert,"['Born: 10-May-1908', 'Birthplace: McAlester, OK']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Father: Ernest Homer Albert (coal miner/farmer)', 'Mother: Leona Scott', 'Wife: Mary Harmon (m. 1942)']"
Eddie Albert,"['Born: 22-Apr-1906', 'Birthplace: Rock Island, IL']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Frank Heimberger', 'Mother: Julia Jones', 'Wife: Margo (actress, b. 10-May-1917, m. 5-Dec-1945, d. 1985)', 'Son: Edward Albert (actor, b. 20-Feb-1951, d. 22-Sep-2006)', ""Daughter: Maria Albert Zucht (adopted, her father's business manager)""]"
Edward Albert,"['Born: 20-Feb-1951', 'Birthplace: Los Angeles, CA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Eddie Albert (actor)', 'Mother: Margo (Mexican-American actress, b. 1917, d. 1985 brain cancer)', ""Sister: Maria Albert Zucht (adopted by Albert's parents)"", 'Girlfriend: Kate Jackson (actress, cohabited in the 1970s)', 'Wife: Katherine Woodville (actress, b. 1938, m. 1978, one daughter)', 'Daughter: Thais Albert (singer/songwriter)']"
Laura Albert,"['Born: 2-Nov-1965', 'Birthplace: Brooklyn, NY']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Novelist, Hoaxer']","['Mother: Carolyn F. Albert', 'Sister: JoAnna Albert', 'Boyfriend: Geoffrey Knoop (one son)']"
Marv Albert,"['Born: 12-Jun-1941', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Sports Figure']","['Father: Max', 'Brother: Al', 'Brother: Steve (b. 1950)', 'Wife: Heather Faulkiner (two sons, two daughters)', 'Son: Kenny (b. 1968)', 'Daughter: Denise', 'Son: Brian', 'Daughter: Jackie', 'Mistress: Vanessa Perhach (victim)']"
Morris Albert,"['Born: 7-Sep-1951', 'Birthplace: São Paulo, Brazil']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Singer/Songwriter']",
Prince Albert,"['Born: 26-Aug-1819', 'Birthplace: Schloss Rosenau, Bavaria, Germany']","['Gender: Male', 'Religion: Christian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Ernest I (Duke of Saxe-Coburg-Gotha, b. 1784, d. 20-Jan-1844)', 'Mother: Princess Dorothea (Louise) Pauline Charlotte Fredericka Augusta (b. 1800, m. 31-Jul-1817, div. 1826, d. 1831)', 'Brother: Ernest II (Duke of Saxe-Coburg-Saalfeld, b. 1818, d. 1893)', 'Mother: Mary (stepmother, b. 1799, m. 1832, d. 1860)', 'Wife: Queen Victoria (b. 24-May-1819, m. 10-Feb-1840, d. 22-Jan-1901)', 'Daughter: Princess Victoria (b. 21-Nov-1840, d. 5-Aug-1901)', 'Son: King Edward VII (b. 9-Nov-1841, d. 6-May-1910)', 'Daughter: Princess Alice (b. 25-Apr-1843, d. 14-Dec-1878)', 'Son: Prince Alfred (b. 6-Aug-1844, d. 31-Jul-1900)', 'Daughter: Princess Helena (b. 25-May-1846, d. 9-Jun-1923)', 'Daughter: Princess Louise (b. 18-Mar-1848, d. 3-Dec-1939)', 'Son: Prince Arthur (b. 1-May-1850, d. 16-Jan-1942)', 'Son: Prince Leopold (b. 7-Apr-1853, d. 28-Mar-1884)', 'Daughter: Princess Beatrice (b. 14-Apr-1857, d. 26-Oct-1944)']"
Stew Albert,"['Born: 4-Dec-1939', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Activist']","['Wife: Judy Gumbo Albert (m. 1977)', 'Daughter: Jessica Pearl Albert']"
Leon Battista Alberti,"['Born: 14-Feb-1404', 'Birthplace: Genoa, Italy']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Architect, Scholar']","['Father: Lorenzo Alberti', 'Mother: (a Bolognese woman)', 'Mother: (a Florentine woman, stepmother, m. Lorenzo in 1408)', 'Brother: Carlo']"
William O. Albertini,"['Born: 29-Jun-1943', 'Birthplace: Mount Carmel, PA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']",
Frank Albertson,"['Born: 2-Feb-1909', 'Birthplace: Fergus Falls, MN']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Virginia Shelley (div.)', 'Wife: Grace Gillern (until his death)']"
Jack Albertson,"['Born: 16-Jun-1907', 'Birthplace: Malden, MA']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
Joe Albertson,"['Born: 17-Oct-1906', 'Birthplace: Yukon, OK']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business, Philanthropist', 'Party Affiliation: Republican']","['Father: Earl Albertson', 'Mother: Rhoda Albertson', 'Wife: Kathryn McCurry Anderson (""Kay"", b. 27-Aug-1908, m. 1-Jan-1930, d. 30-Apr-2002)', 'Daughter: Barbara Jean Newman (b. 1933)']"
Mabel Albertson,"['Born: 24-Jul-1901', 'Birthplace: Lynn, MA']","['Gender: Female', 'Race or Ethnicity: White', 'Occupation: Actor']","['Brother: Jack Albertson (actor, b. 16-Jun-1907, d. 25-Nov-1981)']"
Erasmus Alberus,"['Born: c. 1500', 'Birthplace: Sprendlingen, Germany']","['Gender: Male', 'Religion: Lutheran', 'Race or Ethnicity: White', 'Occupation: Religion']",
Barry T. Albin,"['Born: 7-Jul-1952', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Judge']","['Wife: Inna (two sons)', 'Son: Gerald', 'Son: Daniel']"
David R. Albin,['Born: c. 1960'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Steve Albini,"['Born: 22-Jul-1962', 'Birthplace: Pasadena, CA']","['Gender: Male', 'Religion: Atheist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Music Producer, Guitarist']","['Father: Dr. Frank Albini (wildfire researcher, b. 1936, d. 3-Dec-2005 lung cancer)', 'Mother: Gina Albini', 'Wife: Heather Catherine Whinna']"
Tomaso Albinoni,"['Born: 8-Jun-1671', 'Birthplace: Venice, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Composer, Violinist']","['Father: (merchant)', 'Wife: Margherita Rimondi (m. 1705, d. 1721)', 'Wife: Maria Amalia (m. 1722)']"
Mitch Albom,"['Born: 23-May-1958', 'Birthplace: Passaic, NJ']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Novelist, Columnist']",['Wife: Janine Sabino (m. 1995)']
Chris Albrecht,['Born: c. 1951'],"['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business', 'Party Affiliation: Democratic']","['Daughter: Kate Albrecht', 'Mistress: Sasha Emerson (1990)']"
Gerd Albrecht,"['Born: 19-Jun-1935', 'Birthplace: Essen, Germany']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Conductor']",
Karl Albrecht,"['Born: 28-Mar-1922', 'Birthplace: Essen, Germany']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']","['Father: (miner)', 'Mother: (started supermarket)', 'Brother: Theo Albrecht (younger, manages Northern stores)', 'Wife: (two children)', 'Son: Karl, Jr.']"
Theo Albrecht,"['Born: 28-Mar-1922', 'Died: 24-Jul-2010']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']","['Father: (miner)', 'Mother: (started supermarket)', 'Brother: Karl Albrecht (businessman)', 'Wife: (married, two sons)', 'Son: Theo, Jr.', 'Son: Berthold']"
W. Steve Albrecht,['Born: c. 1949'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Educator']",
Hardie Albright,"['Born: 16-Dec-1903', 'Birthplace: Charleroi, PA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Martha Sleeper (silent film actress, m. 1934, div. 1940, one daughter)', 'Wife: Arnita Wallace (m. 1944, until his death)']"
Joseph P. Albright,"['Born: 8-Nov-1938', 'Birthplace: Wood County, WV']","['Gender: Male', 'Religion: Roman Catholic [2]', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Judge']",
Lola Albright,"['Born: 20-Jul-1925', 'Birthplace: Akron, OH']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']",
Madeleine Albright,"['Born: 15-May-1937', 'Birthplace: Prague, Czechoslovakia']","['Gender: Female', 'Religion: Anglican/Episcopalian [1]', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Diplomat', 'Party Affiliation: Democratic [2]']",
Tenley Albright,"['Born: 18-Jul-1935', 'Birthplace: Newton Centre, MA']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Figure Skating']","['Father: Hollis Albright (surgeon)', 'Mother: Elin Peterson', 'Brother: Niles', 'Husband: Tudor Gardiner (m. 1962, three daughters)', 'Daughter: Lilla Rhys', 'Daughter: Elin', 'Daughter: Elee Emma', 'Husband: Gerald Blakeley, Jr. (""Jerry"", m. 1981)']"
William Foxwell Albright,"['Born: 24-May-1891', 'Birthplace: Coquimbo, Chile']","['Gender: Male', 'Religion: Methodist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Archaeologist']","['Father: Wilbur Finley Albright (missionary, b. 1859, d. 1944)', 'Mother: Zephine Viola Foxwell Albright (missionary, b. 1861, d. 1936)', 'Brother: Paul Foxwell Albright (b. 1893, d. 1965)', 'Sister: Mary Albright Stinespring (b. 1897, d. 1977)', 'Sister: Shriley Albright Phillips (b. 1899)', 'Brother: Phillip Ninde Albright (b. 1900)', 'Wife: Dr. Ruth Norton (m. 3-Aug-1921, four sons)', 'Son: Paul Norton Albright', 'Son: Hugh Norton Albright (b. 1928, d. 2011)', 'Son: Stephen Foxwell Albright', 'Son: David Foxwell Albright (attorney)']"
Chris Alcaide,"['Born: 22-Oct-1922', 'Birthplace: Youngstown, OH']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Peri Hatman (m. 1956, until his death, d. 15-Mar-2008)']"
Niceto Alcalá-Zamora,"['Born: 6-Jul-1877', 'Birthplace: Priego de Cordoba, Spain']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: Hispanic', 'Sexual orientation: Straight', 'Occupation: Government']",
Birdman of Alcatraz,"['Born: 28-Jan-1890', 'Birthplace: Seattle, WA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Criminal']","['Father: Ben Stroud', 'Mother: Elizabeth Stroud', 'Sister: (2 half sisters, older)', 'Brother: Marcus (b. 1897)', ""Girlfriend: Kitty O'Brien"", 'Wife: Della Jones (m. 1933, via postal mail)']"
John R. Alchin,['Born: c. 1948'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business', 'Party Affiliation: Democratic']",
George A. Alcorn,['Born: c. 1933'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business', 'Party Affiliation: Republican']",
Amy Alcott,"['Born: 22-Feb-1956', 'Birthplace: Kansas City, MO']","['Gender: Female', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Matter of Dispute [1]', 'Occupation: Golf']",
Bronson Alcott,"['Born: 29-Nov-1799', 'Birthplace: Wolcott, CT']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Educator, Philosopher']","['Father: (flax farmer)', 'Wife: Abigail May (four daughters, one son)', 'Daughter: Louisa May Alcott (b. 1832, d. 1888)', 'Daughter: May (artist)']"
Louisa May Alcott,"['Born: 29-Nov-1832', 'Birthplace: Germantown, PA']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Matter of Dispute [1]', 'Occupation: Author']","['Father: Bronson Alcott (author, b. 1799, d. 1888)', 'Mother: Abigail ""Abba"" May', 'Sister: Elizabeth Sewell Alcott']"
Alan Alda,"['Born: 28-Jan-1936', 'Birthplace: New York City']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Robert Alda (actor, b. 1914, d. 1986 stroke)', 'Mother: Joan Browne (once crowned Miss New York)', 'Brother: Antony Alda (b. 9-Dec-1956, actor)', 'Wife: Arlene Weiss (clarinetist and photographer, m. 15-Mar-1957, three daughters)', 'Daughter: Eve Alda (actor)', ""Daughter: Elizabeth Alda O'Heaney (executive, Jenjo Foundation, b. 20-Aug-1960)"", ""Daughter: Beatrice (executive, Children's Museum of the East End, b. 10-Aug-1961)""]"
