name,born,gender_details,basic
Cleveland Abbe,"['Born: 3-Dec-1838', 'Birthplace: New York City']","['Gender: Male', 'Religion: Baptist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Physicist, Astronomer']","['Father: George Waldo Abbe (minister, b. 26-Oct-1811, d. 25-Sep-1879)', 'Mother: Charlotte Colgate Abbe (b. 23-Mar-1817, m. 19-Jan-1837, d. 19-Feb-1885)', 'Brother: Walter Abbe (b. 20-Jun-1841, d. infancy)', 'Brother: Walter Abbe (chemist, b. 9-Jun-1843, d. 1879)', 'Brother: William Abbe (b. 1843, d. 1879)', 'Brother: Charles Abbe (inventor, b. 12-Feb-1849, d. 1919)', 'Brother: Robert Abbe (physician, b. 13-Apr-1851, d. Mar-1928)', 'Sister: Helen Abbe Howson (b. 15-Jun-1853)', 'Sister: Harriet Abbe (b. 17-Jun-1855)', 'Wife: Frances Martha Neal Abbe (m. 10-May-1870, d. 24-Jul-1908, three children)', 'Son: Cleveland Abbe Jr (meteorologist, b. 1872, d. 1934)', 'Son: Truman Abbe (surgeon and author, b. 1873, d. 1955)', 'Son: William Abbe (inventor, b. 1877)']"
Leon Abbett,"['Born: 8-Oct-1836', 'Birthplace: Philadelphia, PA']","['Gender: Male', 'Religion: Protestant', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Father: Ezekiel Abbett', 'Mother: Sarah Howell', 'Wife: Mary Briggs (m. 8-Oct-1862)']"
Edward Abbey,"['Born: 29-Jan-1927', 'Birthplace: Indiana, PA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Father: Paul Revere Abbey (farmer, b. 1901, d. 1992)', 'Mother: Mildred Postlewaite (b. 1905, d. 1988)', 'Wife: Jean Schmeckel (m. 1950, div. 1952)', 'Wife: Rita Deanin (div. 1965, two sons)', 'Son: Joshua N. Abbey (b. 1956, with Deanin)', 'Son: Aaron Paul Abbey (b. 1959, with Deanin)', 'Wife: Judy Pepper (d. 1968 or 1970, one daughter)', 'Daughter: Susannah M. Abbey (b. 1968, with Pepper)', 'Wife: Renee Downing (m. 1973, div. 1982)', 'Wife: Clarke Cartwright (5th, m. 1982, until his death, one daughter, one son)', 'Daughter: Rebecca Claire Abbey (b. 1983, with Clarke)', 'Son: Benjamin C. Abbey (b. 1987, with Clarke)']"
Edwin Abbey,"['Born: 1-Apr-1852', 'Birthplace: Philadelphia, PA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Painter, Artist']","['Father: William Maxwell Abbey (b. 1826, d. 1897)', 'Mother: Margery Ann Kiple Abbey', 'Wife: Mary Gertrude Mead (painter, b. 1851, m. 1890, d. 1931)']"
Lynn Abbey,"['Born: 18-Sep-1948', 'Birthplace: Peekskill, NY']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Father: Ronald Lionel Abbey (insurance industry)', 'Mother: Doris Lorraine DeWees', 'Husband: Robert Asprin (author, div. 1993)']"
Watkins M. Abbitt,"['Born: 21-May-1908', 'Birthplace: Lynchburg, VA']","['Gender: Male', 'Religion: Baptist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Brother: Herbert M. Abbitt', 'Brother: Charles W. Abbitt', 'Sister: Dora Abbitt Conner', 'Sister: Eloise Abbitt Snead', 'Wife: Corrine Hancock Abbitt (d. 1989, one son, two daughters)', 'Son: Watkins M. Abbitt, Jr. (Virginia legislator, now Republican, b. 20-Oct-1944)', 'Daughter: Anne Abbitt Kerr', 'Daughter: Corinne Abbitt Hynes', 'Wife: Mary Ann Schmidt (until his death)']"
Charles Greeley Abbot,"['Born: 31-May-1872', 'Birthplace: Wilton, NH']","['Gender: Male', 'Religion: Congregationalist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Astronomer, Physicist, Administrator']","['Father: Harris Abbot (farmer, b. 19-Sep-1812, d. 20-Mar-1884)', 'Mother: Caroline Ann Greeley Abbot (b. 20-Oct-1836, m. 20-Nov-1860)', 'Sister: Ella Caroline Abbot Wilder (teacher, b. 22-Apr-1862)', 'Brother: Stanley Harris Abbot (farmer, b. 20-Oct-1863)', 'Sister: Florence Hale Abbot (physician, b. 20-Oct-1867)', 'Wife: Lillian Elvira Moore Abbot (m. 13-Oct-1897, d. 1-Jun-1944, no children)', 'Wife: Virginia Andes Johnston Abbott (m. 1954, no children)']"
Bud Abbott,"['Born: 2-Oct-1895', 'Birthplace: Asbury Park, NJ']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Harry Abbott', 'Mother: (performer with Ringling Bros.)', 'Wife: Betty Smith (m. 17-Sep-1918, d. 1981, two adopted children)', 'Son: Bud Abbott, Jr. (actor, b. 23-Aug-1939, d. 19-Jan-1997)']"
Edwin A. Abbott,"['Born: 20-Dec-1838', 'Birthplace: Marylebone, Middlesex, England']","['Gender: Male', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Father: Edwin Abbott (school headmaster, b. 12-May-1808, d. 27-May-1882)', 'Mother: Jane Abbott (b. 1806, m. 1830, d. 1882)', 'Wife: Mary Elizabeth Rangeley Abbott (m. 1863, d. 5-Feb-1919, one daughter, one son)']"
George Abbott,"['Born: 25-Jun-1887', 'Birthplace: Forestville, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Playwright, Film Director']","['Father: (Mayor of Salamanca, NY)', 'Wife: Edna Levis (m. 1914, d. 1930, one daughter)', 'Wife: Mary Sinclair (m. Apr-1946, div. 1951)', 'Girlfriend: Maureen Stapleton', 'Wife: Joy Valderama (m. 21-Nov-1983)']"
Grace Abbott,"['Born: 17-Nov-1878', 'Birthplace: Grand Island, NE']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Activist']",['Father: (involved in state politics)']
Jacob Abbott,"['Born: 14-Nov-1803', 'Birthplace: Hallowell, ME']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Father: Jacob Abbott', 'Mother: Lydia Abbott', 'Brother: John (with Jacob, co-founder of Mount Vernon School for Girls in 1829)', 'Brother: Samuel (d. 1849)', 'Wife: Harriet Vaughan (m. 18-May-1828, d. 1843)', 'Son: Lyman Abbott (clergyman and author, b. 1835, d. 1922)', 'Brother: Gorham', 'Wife: May Woodbury (m. Nov-1853)']"
James A. Abbott,['Born: c. 1945'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Jim Abbott,"['Born: 19-Sep-1967', 'Birthplace: Flint, MI']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Baseball']","['Wife: Dana Douty (m. 1991, one daughter)', 'Daughter: Madeleine (b. 15-Dec-1996)']"
John Abbott,"['Born: 5-Jun-1905', 'Birthplace: London, England']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
John Abbott,"['Born: 12-Mar-1821', 'Birthplace: St-Andre-Est, Quebec, Canada']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Head of State']","['Father: Joseph Abbott (reverend)', 'Mother: Harriet Bradford', 'Wife: Mary Martha Bethune (m. 26-Jul-1849, four sons, four daughters)']"
Robert S. Abbott,"['Born: 24-Nov-1868', 'Birthplace: St. Simons Island, GA']","['Gender: Male', 'Religion: Bahai', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Publisher, Editor, Activist']","['Father: Thomas Abbott (slave, d. 1869)', 'Mother: Flora Butler Abbott (slave)', 'Father: John Sengstacke (stepfather, m. 1874, d. 1904)', 'Brother: John Sengstacke Jr. (half-brother)', 'Brother: Alexander Sengstacke (half-brother)', 'Sister: Mary Sengstacke (half-sister)', 'Sister: Rebecca Sengstacke (half-sister)', 'Sister: Eliza Sengstacke (half-sister)', 'Sister: Susan Sengstacke (half-sister)', 'Sister: Johannah Sengstacke (half-sister)', 'Wife: Helen Thornton Morrison Sengstacke (b. circa 1899, m. 1918, div. 1933)', 'Wife: Edna Denison Sengstacke (m. 1934)']"
Wallace Calvin Abbott,"['Born: 12-Oct-1857', 'Birthplace: Bridgewater, VT']","['Gender: Male', 'Religion: Methodist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Doctor, Business', 'Party Affiliation: Republican']","['Father: Luther Abbott (farmer, b: 1825, d. 1904)', 'Mother: Wealthy Barrows Abbott (b: 1834)', 'Sister: Lucy Abbott (Abbott Alkaloidal executive)', 'Wife: Clara Ingraham Abbott (one daughter)', 'Daughter: Eleanor Abbott']"
Dave Abbruzzese,"['Born: 17-May-1968', 'Birthplace: Stamford, CT']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Drummer']",
Gamal Abdel-Nasser,"['Born: 15-Jan-1918', 'Birthplace: Alexandria, Egypt']","['Gender: Male', 'Religion: Sunni Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Head of State']","['Father: Abdel Nasser Hussein', 'Mother: Fahima Hamad', 'Brother: Izz al-Arab', 'Brother: al-Leithi', 'Wife: Tahia Kazem (m. 1944, two daughters, three sons)', 'Daughter: Hoda', 'Daughter: Mona', 'Son: Khalid', 'Son: Abdel Hamid', 'Son: Abdel Hakim']"
Omar Abdel-Rahman,"['Born: 3-May-1938', 'Birthplace: Al Gamalia, Egypt']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Criminal']","['Wife: Aisha Hassan Gouda (7 sons)', 'Wife: A. Zohdi (3 children)', 'Son: Abdallah']"
James Abdnor,"['Born: 13-Feb-1923', 'Birthplace: Kennebec, SD']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Politician', 'Party Affiliation: Republican']","['Father: Samuel Abdnor', 'Mother: Mary']"
Richard A. Abdoo,['Born: c. 1943'],"['Gender: Male', 'Race or Ethnicity: Middle Eastern', 'Occupation: Business']",
Abdu'l-Bahá,"['Born: 23-May-1844', 'Birthplace: Tehran, Persia']","['Gender: Male', 'Religion: Bahai', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Religion, Activist']","[""Father: Bahá'u'lláh (Baha'i prophet)"", 'Mother: Ásiyih Khánum (called Navváb, b. circa 1820, d. 1886)', 'Sister: Fatimih Khánum (b. 1846, d. 15-Jul-1932)', 'Brother: Mirzá Mihdí (b. 1848, d. 23-Jun-1870 defenestrated through a skylight)', 'Brother: Muhammad Alí (half-, b. circa 1852, d. 1937)', 'Sister: Samadiyyih (half-, b. 1855/6, d. 1904/5)', ""Brother: Díyá'u'lláh (half-, b. 1864, d. 1898)"", ""Brother: Badi'u'lláh (half-, b. 1868, d. 1950)"", 'Sister: Furughiyyih (half-)', 'Wife: Munirih Khanum (m. 1873, 9 children, 4 daughters survived)', ""Daughter: Díyá'íyyih Khánum"", 'Daughter: Tuba Khanum', 'Daughter: Ruha Khanum', 'Daughter: Munavvar Khanum']"
Paula Abdul,"['Born: 19-Jun-1962', 'Birthplace: Los Angeles, CA']","['Gender: Female', 'Religion: Jewish [1]', 'Race or Ethnicity: Multiracial', 'Sexual orientation: Straight', 'Occupation: Singer, TV Personality']",
Kareem Abdul-Jabbar,"['Born: 16-Apr-1947', 'Birthplace: Harlem, NY']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Basketball']","['Father: Ferdinand Lewis Alcindor, Sr.', 'Mother: Cora', 'Wife: Habiba Abdul-Jabbar (""Janice Brown"", div. 1978)', 'Daughter: Habiba', 'Daughter: Sultana', 'Son: Kareem', 'Son: Adam', 'Girlfriend: Cheryl Pistono', 'Son: Amir', 'Slept with: Heather Hunter (according to her)', 'Girlfriend: Pam Grier']"
King Abdullah,"['Born: 1-Aug-1924', 'Birthplace: Riyadh, Saudi Arabia']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: King Ibn Saud (founder of Saudi Arabia)', 'Mother: Fahda', ""Brother: King Sa'ud"", 'Brother: King Faisal', 'Brother: King Khalid', 'Brother: King Fahd (half-brother, d. 2005)', 'Wife: (four wives)', 'Son: (seven sons)', 'Daughter: (fifteen daughters)']"
King Abdullah II,"['Born: 30-Jan-1962', 'Birthplace: Amman, Jordan']","['Gender: Male', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: King Hussein', 'Mother: Princess Muna Al Hussein (b. England as Toni Gardiner)', 'Wife: Queen Rania (m. 10-Jun-1993, two sons, two daughters)', 'Son: Prince al-Hussein (b. 28-Jun-1994)', 'Daughter: Princess Iman (b. 27-Sep-1996)', 'Daughter: Princess Salma (b. 26-Sep-2000)', 'Son: Prince Hashem (b. 30-Jan-2005)']"
Umar Farouk Abdulmutallab,"['Born: 22-Dec-1986', 'Birthplace: Lagos, Nigeria']","['Gender: Male', 'Religion: Sunni Muslim', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Terrorist']","['Father: Alhaji Umaru Mutallab (banker, Nigerian government minister)', 'Mother: Aisha']"
Shinzo Abe,"['Born: 21-Sep-1954', 'Birthplace: Nagato, Japan']","['Gender: Male', 'Race or Ethnicity: Asian', 'Sexual orientation: Straight', 'Occupation: Head of State']","['Father: Shintaro Abe (d. 1991)', 'Mother: Yoko Kishi', 'Wife: Akie Matsuzaki (m. 1987)']"
